amp,ROI,position,subject
0,0,0,0
0.24501573868069,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0.336840212100716,1,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0.487035506439213,1,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0.483926662713589,1,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0.52373624709148,1,1,5
0,0,0,0
0,0,0,0
0,0,0,0
0.5739871103316,1,1,6
0,0,0,0
0,0,0,0
0,0,0,0
0.47588054616937,1,1,7
0,0,0,0
0,0,0,0
0,0,0,0
0.333557500050518,1,1,8
0,0,0,0
0,0,0,0
0,0,0,0
0.520565632942172,1,1,9
0,0,0,0
0,0,0,0
0,0,0,0
0.283623319758579,2,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0.390728070891585,2,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0.415225744625875,2,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0.529513682718115,2,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0.615372942433189,2,1,5
0,0,0,0
0,0,0,0
0,0,0,0
0.442465251676795,2,1,6
0,0,0,0
0,0,0,0
0,0,0,0
0.347103039601282,2,1,7
0,0,0,0
0,0,0,0
0,0,0,0
0.525363425572571,2,1,8
0,0,0,0
0,0,0,0
0,0,0,0
0.578706916554321,2,1,9
0,0,0,0
0,0,0,0
0,0,0,0
0.306853480281851,3,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0.384684074429463,3,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0.374575168582169,3,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0.503941374811704,3,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0.573072403201834,3,1,5
0,0,0,0
0,0,0,0
0,0,0,0
0.320653586733947,3,1,6
0,0,0,0
0,0,0,0
0,0,0,0
0.277370673029597,3,1,7
0,0,0,0
0,0,0,0
0,0,0,0
0.476554343181198,3,1,8
0,0,0,0
0,0,0,0
0,0,0,0
0.672619369472285,3,1,9
0,0,0,0
0,0,0,0
0,0,0,0
0.40189164314802,4,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0.355685554367906,4,1,2
0,0,0,0
0,0,0,0
0,0,0,0
0.547781468756952,4,1,3
0,0,0,0
0,0,0,0
0,0,0,0
0.711445027817198,4,1,4
0,0,0,0
0,0,0,0
0,0,0,0
0.685792244741644,4,1,5
0,0,0,0
0,0,0,0
0,0,0,0
0.671593579459951,4,1,6
0,0,0,0
