base,ROI,position,subject
0,0,0,0
0,0,0,0
0,0,0,0
-0.0420471710171818,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.113205482337036,1,1,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0881251248944609,1,1,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.146816705091552,1,1,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.291769217939671,1,1,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.109279247342092,1,1,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.045118146498201,1,1,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.0623009935727254,1,1,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.0578152174703699,1,1,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.159631691951286,2,1,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.139682822269628,2,1,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.330776001382538,2,1,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.277522480517192,2,1,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.401587233852805,2,1,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.0630968646430656,2,1,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.00237223628456342,2,1,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.137590389452175,2,1,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.21321407533003,2,1,9
0,0,0,0
0,0,0,0
0,0,0,0
0.0210534215324945,3,1,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.0855897644264264,3,1,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0892069595952934,3,1,3
0,0,0,0
0,0,0,0
0,0,0,0
-0.239389366465396,3,1,4
0,0,0,0
0,0,0,0
0,0,0,0
-0.216163871332915,3,1,5
0,0,0,0
0,0,0,0
0,0,0,0
-0.0225855161523319,3,1,6
0,0,0,0
0,0,0,0
0,0,0,0
-0.0358571414370073,3,1,7
0,0,0,0
0,0,0,0
0,0,0,0
-0.131951896916636,3,1,8
0,0,0,0
0,0,0,0
0,0,0,0
-0.196051839673459,3,1,9
0,0,0,0
0,0,0,0
0,0,0,0
-0.0053480141613936,4,1,1
0,0,0,0
0,0,0,0
0,0,0,0
-0.105357244505857,4,1,2
0,0,0,0
0,0,0,0
0,0,0,0
-0.0890074694462636,4,1,3
0,0,0,0
0,0,0,0
0,0,0,0
