subject,ROI,position,err
1,1,1,0.35
1,1,2,1.34696528318702
1,1,3,0.111208812516383
1,1,4,0.404525343692937
1,1,5,0.15209436006844
1,1,6,0.0767460080579352
1,2,1,1.26021317200423
1,2,2,1.24060412474025
1,2,3,0.0698861903357977
1,2,4,0.387872332820082
1,2,5,0.150698379139394
1,2,6,0.086544744283759
1,3,1,0.182228303000846
1,3,2,0.409137284643924
1,3,3,0.0845548752214808
1,3,4,0.104422471542119
1,3,5,0.111459215729707
1,3,6,0.484894866691369
1,4,1,1.04771878232593
1,4,2,0.149394007027149
1,4,3,0.0109221811004458
1,4,4,0.194302562181211
1,4,5,0.079305224254297
1,4,6,0.603677590203976
1,5,1,0.111543905088333
1,5,2,0.185351674378311
1,5,3,0.0952826153058856
1,5,4,0.077734659146651
1,5,5,0.12804045739564
1,5,6,0.284202722526298
1,6,1,0.132887590879548
1,6,2,0.0416035090886028
1,6,3,0.110422443211359
1,6,4,0.0164924695923407
1,6,5,0.134991246878162
1,6,6,0.307091839351455
1,7,1,0.153168488803477
1,7,2,0.0507635331712665
1,7,3,0.0725838569596529
1,7,4,0.155581605427536
1,7,5,0.0047573738861002
1,7,6,0.329478395598236
1,8,1,0.240918813237147
1,8,2,0.327687134192135
1,8,3,0.32758120655909
1,8,4,0.190918790124081
1,8,5,0.146375931077637
1,8,6,0.297160958930835
1,9,1,0.687591324022192
1,9,2,0.202607297877046
1,9,3,0.0300324391198557
1,9,4,0.139105115294851
1,9,5,0.0266520920723959
1,9,6,0.41767001119582
2,1,1,1.5980638440601
2,1,2,0.722597189784514
2,1,3,1.16701674282521
2,1,4,0.764868411697801
2,1,5,1.73001391256658
2,1,6,1.22629518984839
2,2,1,0.772342699047477
2,2,2,0.595867878287009
2,2,3,1.20491045963272
2,2,4,0.719413950038711
2,2,5,1.3110901113198
2,2,6,1.33133714514822
2,3,1,1.06832310494201
2,3,2,0.599733682939603
2,3,3,1.1421189711399
2,3,4,0.515604243715969
2,3,5,2.35700611461281
2,3,6,0.996818266191662
2,4,1,1.09013102645099
2,4,2,0.754868084979086
2,4,3,1.09024541055559
2,4,4,0.361014705484885
2,4,5,2.25
2,4,6,0.693353743310129
2,5,1,0.246442982760269
2,5,2,0.565816419918198
2,5,3,0.71664421194759
2,5,4,0.256564457342623
2,5,5,0.341531533092955
2,5,6,0.239046387998372
2,6,1,3.03055120066721
2,6,2,0.804603963288144
2,6,3,0.36164821561986
2,6,4,0.134009879764265
2,6,5,0.35
2,6,6,3.25
2,7,1,0.302971254797094
2,7,2,0.56179689746437
2,7,3,0.596751698779843
2,7,4,0.0836608349321362
2,7,5,0.0175990637456698
2,7,6,0.0682114331703556
2,8,1,2.60117197040279
2,8,2,0.35
2,8,3,0.847756142655145
2,8,4,0.498565544256811
2,8,5,3.25
2,8,6,1.03199858750146
2,9,1,2.41631225941034
2,9,2,0.149540401593021
2,9,3,0.493620019744712
2,9,4,0.707035687848774
2,9,5,2.26851586728687
2,9,6,2.25065519365013
3,1,1,1.9183859521282
3,1,2,1.91379021898315
3,1,3,0.16300000123876
3,1,4,1.72212527107031
3,1,5,0.990310211708077
3,1,6,2.22348798825939
3,2,1,0.85
3,2,2,1.74693162585496
3,2,3,0.190784065068691
3,2,4,1.65127486884594
3,2,5,1.2570257905693
3,2,6,2.24026843334425
3,3,1,1.76509910435474
3,3,2,1.21181177592879
3,3,3,0.0345165516804281
3,3,4,1.68997759911634
3,3,5,1.18323302823472
3,3,6,0.764980754374496
3,4,1,1.0401389208633
3,4,2,1.3617490426616
3,4,3,0.624903384450611
3,4,4,0.764835212842569
3,4,5,1.22081322270551
3,4,6,1.64461229378358
3,5,1,0.35
3,5,2,0.552255012281239
3,5,3,0.33631027909622
3,5,4,0.594497294026574
3,5,5,0.496145856173683
3,5,6,0.224781557416045
3,6,1,1.40237590059026
3,6,2,0.272331414146938
3,6,3,0.375982106373159
3,6,4,0.779178771468697
3,6,5,0.625983212244282
3,6,6,0.443681810494042
3,7,1,1.65
3,7,2,0.129927699067402
3,7,3,0.613774563695061
3,7,4,1.08496520081209
3,7,5,1.31175351240985
3,7,6,0.906351110090096
3,8,1,1.51333951412598
3,8,2,0.374014930243461
3,8,3,0.122508597363364
3,8,4,1.16629252205562
3,8,5,0.290656645910102
3,8,6,0.405193866621865
3,9,1,1.19812982265429
3,9,2,0.000205059773457861
3,9,3,0.17530850809385
3,9,4,0.653815142039648
3,9,5,0.769969928164026
3,9,6,0.496622259302697
4,1,1,0.316033832968339
4,1,2,0.429862560978722
4,1,3,0.463107757798831
4,1,4,0.337741425007256
4,1,5,0.672572433583972
4,1,6,1.99177960281413
4,2,1,0.236958091060756
4,2,2,0.213236993207373
4,2,3,0.784879807517306
4,2,4,0.179162453380003
4,2,5,0.304826038370126
4,2,6,1.15674951820206
4,3,1,0.0716695339180613
4,3,2,0.053719336010115
4,3,3,0.975696922998776
4,3,4,0.158667571575466
4,3,5,0.27888183369362
4,3,6,1.95
4,4,1,0.206245702893757
4,4,2,0.106774751864179
4,4,3,1.05969389155263
4,4,4,0.0838222500297424
4,4,5,0.269746167047432
4,4,6,0.481699228842567
4,5,1,0.13351695663235
4,5,2,0.248658352221705
4,5,3,1.10251348526964
4,5,4,0.318605998717958
4,5,5,0.45271259341389
4,5,6,0.138554378246744
4,6,1,0.0404069187745768
4,6,2,0.301826137662467
4,6,3,0.690793340397376
4,6,4,0.314987141963759
4,6,5,0.166269502944414
4,6,6,0.65
4,7,1,0.0946820943296514
4,7,2,0.844646102859442
