size,ROI,position,subject
0,0,0,0
0,0,0,0
4.9,1,1,1
0,0,0,0
0,0,0,0
0,0,0,0
5.66379299825327,1,1,2
0,0,0,0
0,0,0,0
0,0,0,0
2.90066294429954,1,1,3
0,0,0,0
0,0,0,0
0,0,0,0
3.77974350802333,1,1,4
0,0,0,0
0,0,0,0
0,0,0,0
7.90111042920364,1,1,5
0,0,0,0
0,0,0,0
0,0,0,0
3.29997247716901,1,1,6
0,0,0,0
0,0,0,0
0,0,0,0
3.13886591812729,1,1,7
0,0,0,0
0,0,0,0
0,0,0,0
7.4,1,1,8
0,0,0,0
0,0,0,0
0,0,0,0
6.8,1,1,9
0,0,0,0
0,0,0,0
0,0,0,0
10.6,2,1,1
0,0,0,0
0,0,0,0
0,0,0,0
4.9996500427261,2,1,2
0,0,0,0
0,0,0,0
0,0,0,0
12.3,2,1,3
0,0,0,0
0,0,0,0
0,0,0,0
4.09868130489697,2,1,4
0,0,0,0
0,0,0,0
0,0,0,0
8.59882171094474,2,1,5
0,0,0,0
0,0,0,0
0,0,0,0
2.70059928228465,2,1,6
0,0,0,0
0,0,0,0
0,0,0,0
3.66540340220984,2,1,7
0,0,0,0
0,0,0,0
0,0,0,0
6.79981858807524,2,1,8
0,0,0,0
0,0,0,0
0,0,0,0
8.89934995614034,2,1,9
0,0,0,0
0,0,0,0
0,0,0,0
2.91852398105614,3,1,1
0,0,0,0
0,0,0,0
0,0,0,0
6.09973510641213,3,1,2
0,0,0,0
0,0,0,0
0,0,0,0
3.19981139257043,3,1,3
0,0,0,0
0,0,0,0
0,0,0,0
3.99988136945702,3,1,4
0,0,0,0
0,0,0,0
0,0,0,0
4.70117937348047,3,1,5
0,0,0,0
0,0,0,0
0,0,0,0
2.39897583970176,3,1,6
0,0,0,0
0,0,0,0
0,0,0,0
6.00053634463499,3,1,7
0,0,0,0
0,0,0,0
0,0,0,0
6.60113445874173,3,1,8
0,0,0,0
0,0,0,0
0,0,0,0
6.3013475584525,3,1,9
0,0,0,0
0,0,0,0
0,0,0,0
5.8,4,1,1
0,0,0,0
0,0,0,0
0,0,0,0
7.9,4,1,2
0,0,0,0
0,0,0,0
0,0,0,0
6.6,4,1,3
0,0,0,0
0,0,0,0
0,0,0,0
3.93371959364341,4,1,4
0,0,0,0
0,0,0,0
0,0,0,0
6.2,4,1,5
0,0,0,0
0,0,0,0
0,0,0,0
3.79999308684502,4,1,6
